epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
26,2020-06-26,39,SP,Manduri,3528601,city,11,111.7205,0,0,0,0.0,9846,True,False
26,2020-06-26,2,SP,Marabá Paulista,3528700,city,2,34.17051,0,0,0,0.0,5853,True,False
26,2020-06-26,8,SP,Maracaí,3528809,city,39,278.53164,4,0,0,0.0,14002,True,False
26,2020-06-26,52,SP,Marapoama,3528858,city,2,65.98482,0,0,0,0.0,3031,True,False
26,2020-06-26,29,SP,Mariápolis,3528908,city,1,24.4858,0,0,0,0.0,4084,True,False
26,2020-06-26,85,SP,Marília,3529005,city,318,133.12012,17,11,0,0.0346,238882,True,False
26,2020-06-26,20,SP,Marinópolis,3529104,city,1,47.34848,1,0,0,0.0,2112,True,False
26,2020-06-26,64,SP,Martinópolis,3529203,city,17,64.24549,0,1,0,0.0588,26461,True,False
26,2020-06-26,88,SP,Matão,3529302,city,33,39.67777,0,1,0,0.0303,83170,True,False
26,2020-06-26,103,SP,Mauá,3529401,city,2125,449.34364,36,139,3,0.0654,472912,True,False
26,2020-06-26,43,SP,Mendonça,3529500,city,60,1092.89617,6,2,0,0.0333,5490,True,False
26,2020-06-26,50,SP,Meridiano,3529609,city,7,182.48175,0,0,0,0.0,3836,True,False
26,2020-06-26,68,SP,Miguelópolis,3529708,city,20,89.9847,2,1,0,0.05,22226,True,False
26,2020-06-26,71,SP,Mineiros do Tietê,3529807,city,31,240.16114,2,1,0,0.0323,12908,True,False
26,2020-06-26,65,SP,Miracatu,3529906,city,99,500.53087,4,7,0,0.0707,19779,True,False
26,2020-06-26,8,SP,Mira Estrela,3530003,city,2,64.80881,0,0,0,0.0,3086,True,False
26,2020-06-26,68,SP,Mirandópolis,3530102,city,60,202.94953,4,5,0,0.0833,29564,True,False
26,2020-06-26,32,SP,Mirante do Paranapanema,3530201,city,14,76.67452,0,0,0,0.0,18259,True,False
26,2020-06-26,82,SP,Mirassol,3530300,city,93,155.456,7,4,0,0.043,59824,True,False
26,2020-06-26,20,SP,Mirassolândia,3530409,city,5,102.64833,1,0,0,0.0,4871,True,False
26,2020-06-26,80,SP,Mococa,3530508,city,91,132.10423,7,6,0,0.0659,68885,True,False
26,2020-06-26,99,SP,Mogi das Cruzes,3530607,city,1902,426.60853,85,150,3,0.0789,445842,True,False
26,2020-06-26,88,SP,Mogi Guaçu,3530706,city,528,347.62457,48,15,0,0.0284,151888,True,False
